,DeviceID,Date,Location,DurationOfStay
0,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-09-25,"(33.888147432940386, 35.49271063576962)",2.9716666666666667
20,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-09-25,Unknown,21.028333333333332
1,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-09-26,"(33.888147432940386, 35.49271063576962)",19.535833333333333
2,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-09-26,Other,0.8008333333333333
21,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-09-26,Unknown,3.663333333333334
3,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-06,"(33.888147432940386, 35.49271063576962)",2.28
4,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-06,Other,0.0
23,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-06,Unknown,21.72
5,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-07,"(33.888147432940386, 35.49271063576962)",23.514444444444443
6,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-07,Other,0.0
25,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-07,Unknown,0.48555555555555685
7,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-08,"(33.888147432940386, 35.49271063576962)",18.215555555555554
8,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-08,Other,4.982222222222222
27,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-08,Unknown,0.8022222222222233
9,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-09,"(33.888147432940386, 35.49271063576962)",2.8713888888888888
29,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-09,Unknown,21.128611111111113
10,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-10,"(33.888147432940386, 35.49271063576962)",21.880555555555556
11,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-10,Other,0.5883333333333333
30,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-10,Unknown,1.5311111111111089
12,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-11,"(33.888147432940386, 35.49271063576962)",2.924166666666667
32,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-11,Unknown,21.075833333333332
13,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-12,"(33.87094538717949, 35.505715046153846)",8.759444444444444
14,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-12,"(33.888147432940386, 35.49271063576962)",1.2783333333333333
15,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-12,"(33.89452288333333, 35.48377861666667)",1.2261111111111112
16,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-12,Other,9.317222222222222
33,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-12,Unknown,3.418888888888887
17,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-13,"(33.888147432940386, 35.49271063576962)",22.887222222222224
18,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-13,Other,0.0
37,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-13,Unknown,1.1127777777777759
19,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-14,"(33.888147432940386, 35.49271063576962)",23.538333333333334
39,9f4f2f17-feca-4e98-a2fb-582da75f2d3a,2023-10-14,Unknown,0.461666666666666
